,size,maxtime,regime,strategy
0,55,24,"[[157.125, 157.09375, 291.0, 1329.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1833.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 291.0, 1318.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1891.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 291.0, 1280.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1942.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 291.0, 1276.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1956.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 291.0, 1256.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1959.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 291.0, 1245.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1988.0, 157.375, 156.96875, 329.0, 698.0], [157.09375, 157.09375, 9.0, 1215.0, 157.125, 157.0625, 291.0, 327.0, 157.1875, 157.03125, 6456.0, 258.0, 157.25, 157.0, 1816.0, 1995.0, 157.3125, 156.96875, 1104.0, 698.0], [157.09375, 157.09375, 8.0, 1189.0, 157.125, 157.0625, 291.0, 327.0, 157.1875, 157.03125, 6456.0, 258.0, 157.25, 157.0, 1816.0, 1995.0, 157.3125, 156.96875, 1104.0, 698.0], [157.09375, 157.09375, 3.0, 1178.0, 157.125, 157.0625, 355.0, 327.0, 157.1875, 157.03125, 6456.0, 258.0, 157.25, 157.0, 1816.0, 1995.0, 157.3125, 156.96875, 1104.0, 698.0], [157.09375, 157.09375, 2.0, 1172.0, 157.125, 157.0625, 355.0, 327.0, 157.1875, 157.03125, 6456.0, 258.0, 157.25, 157.0, 1816.0, 1995.0, 157.3125, 156.96875, 1104.0, 698.0]]",POV
0,60,42,"[[157.125, 157.09375, 291.0, 1359.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1818.0, 157.375, 156.96875, 329.0, 697.0], [157.125, 157.09375, 291.0, 1319.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1881.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 291.0, 1318.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1927.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 291.0, 1295.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1942.0, 157.375, 156.96875, 329.0, 698.0], [157.0625, 157.09375, 5.0, 1241.0, 157.125, 157.0625, 291.0, 327.0, 157.1875, 157.03125, 6456.0, 258.0, 157.25, 157.0, 1816.0, 1995.0, 157.3125, 156.96875, 1104.0, 698.0], [157.125, 157.09375, 291.0, 1233.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1995.0, 157.375, 156.96875, 329.0, 698.0], [157.09375, 157.09375, 5.0, 1221.0, 157.125, 157.0625, 301.0, 327.0, 157.1875, 157.03125, 6456.0, 258.0, 157.25, 157.0, 1816.0, 1995.0, 157.3125, 156.96875, 1104.0, 698.0], [157.09375, 157.09375, 4.0, 1196.0, 157.125, 157.0625, 291.0, 327.0, 157.1875, 157.03125, 6456.0, 258.0, 157.25, 157.0, 1816.0, 1995.0, 157.3125, 156.96875, 1104.0, 698.0], [157.125, 157.09375, 302.0, 1180.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1995.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 323.0, 1180.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1995.0, 157.375, 156.96875, 329.0, 698.0]]",POV
0,170,60,"[[157.125, 157.09375, 291.0, 1359.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1824.0, 157.375, 156.96875, 329.0, 697.0], [157.125, 157.09375, 291.0, 1318.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1884.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 291.0, 1318.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1929.0, 157.375, 156.96875, 329.0, 698.0], [157.0625, 157.09375, 5.0, 1264.0, 157.125, 157.0625, 291.0, 327.0, 157.1875, 157.03125, 6456.0, 258.0, 157.25, 157.0, 1816.0, 1959.0, 157.3125, 156.96875, 1104.0, 698.0], [157.125, 157.09375, 291.0, 1251.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1959.0, 157.375, 156.96875, 329.0, 698.0], [157.0625, 157.09375, 1.0, 1243.0, 157.125, 157.0625, 291.0, 327.0, 157.1875, 157.03125, 6456.0, 258.0, 157.25, 157.0, 1816.0, 1995.0, 157.3125, 156.96875, 1104.0, 698.0], [157.125, 157.09375, 291.0, 1216.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1995.0, 157.375, 156.96875, 329.0, 698.0], [157.09375, 157.09375, 9.0, 1190.0, 157.125, 157.0625, 291.0, 327.0, 157.1875, 157.03125, 6456.0, 258.0, 157.25, 157.0, 1816.0, 1995.0, 157.3125, 156.96875, 1104.0, 698.0], [157.125, 157.09375, 355.0, 1180.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1995.0, 157.375, 156.96875, 329.0, 698.0], [157.09375, 157.09375, 3.0, 1173.0, 157.125, 157.0625, 355.0, 327.0, 157.1875, 157.03125, 6456.0, 258.0, 157.25, 157.0, 1816.0, 1995.0, 157.3125, 156.96875, 1104.0, 698.0]]",POV
0,95,81,"[[157.125, 157.09375, 291.0, 1359.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1819.0, 157.375, 156.96875, 329.0, 697.0], [157.125, 157.09375, 291.0, 1329.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1825.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 291.0, 1326.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1866.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 291.0, 1254.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1959.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 291.0, 1251.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1975.0, 157.375, 156.96875, 329.0, 698.0], [157.0625, 157.09375, 3.0, 1239.0, 157.125, 157.0625, 291.0, 327.0, 157.1875, 157.03125, 6456.0, 258.0, 157.25, 157.0, 1816.0, 1995.0, 157.3125, 156.96875, 1104.0, 698.0], [157.125, 157.09375, 301.0, 1216.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1995.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 291.0, 1192.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1995.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 313.0, 1180.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1995.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 333.0, 1180.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1995.0, 157.375, 156.96875, 329.0, 698.0]]",POV
0,370,105,"[[157.125, 157.09375, 291.0, 1359.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1803.0, 157.375, 156.96875, 329.0, 697.0], [157.125, 157.09375, 291.0, 1338.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1825.0, 157.375, 156.96875, 329.0, 697.0], [157.125, 157.09375, 291.0, 1329.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1866.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 291.0, 1318.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1923.0, 157.375, 156.96875, 329.0, 698.0], [157.0625, 157.09375, 7.0, 1302.0, 157.125, 157.0625, 291.0, 327.0, 157.1875, 157.03125, 6456.0, 258.0, 157.25, 157.0, 1816.0, 1934.0, 157.3125, 156.96875, 1104.0, 698.0], [157.125, 157.09375, 291.0, 1276.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1959.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 291.0, 1251.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1970.0, 157.375, 156.96875, 329.0, 698.0], [157.0625, 157.09375, 1.0, 1231.0, 157.125, 157.0625, 291.0, 327.0, 157.1875, 157.03125, 6456.0, 258.0, 157.25, 157.0, 1816.0, 1995.0, 157.3125, 156.96875, 1104.0, 698.0], [157.125, 157.09375, 301.0, 1226.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1995.0, 157.375, 156.96875, 329.0, 698.0], [157.125, 157.09375, 301.0, 1226.0, 157.1875, 157.0625, 6456.0, 327.0, 157.25, 157.03125, 1816.0, 258.0, 157.3125, 157.0, 1104.0, 1995.0, 157.375, 156.96875, 329.0, 698.0]]",POV
0,85,18,"[[157.125, 157.09375, 339.0, 114.0, 157.1875, 157.0625, 8997.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 343.0, 142.0, 157.1875, 157.0625, 8997.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 378.0, 144.0, 157.1875, 157.0625, 8997.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 378.0, 189.0, 157.1875, 157.0625, 8997.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 408.0, 220.0, 157.1875, 157.0625, 8997.0, 13.0, 157.25, 157.03125, 2323.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 460.0, 220.0, 157.1875, 157.0625, 9010.0, 48.0, 157.25, 157.03125, 2328.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 443.0, 198.0], [157.09375, 157.09375, 6.0, 208.0, 157.125, 157.0625, 472.0, 57.0, 157.1875, 157.03125, 9010.0, 1767.0, 157.25, 157.0, 2328.0, 289.0, 157.3125, 156.96875, 1422.0, 198.0], [157.125, 157.09375, 490.0, 202.0, 157.1875, 157.0625, 9027.0, 68.0, 157.25, 157.03125, 2328.0, 1767.0, 157.3125, 157.0, 1441.0, 289.0, 157.375, 156.96875, 443.0, 198.0], [157.125, 157.09375, 536.0, 202.0, 157.1875, 157.0625, 9027.0, 72.0, 157.25, 157.03125, 2328.0, 1767.0, 157.3125, 157.0, 1441.0, 289.0, 157.375, 156.96875, 443.0, 198.0], [157.09375, 157.09375, 18.0, 177.0, 157.125, 157.0625, 570.0, 73.0, 157.1875, 157.03125, 9027.0, 1767.0, 157.25, 157.0, 2328.0, 289.0, 157.3125, 156.96875, 1441.0, 198.0]]",POV
0,295,21,"[[157.125, 157.09375, 290.0, 100.0, 157.1875, 157.0625, 8996.0, 10.0, 157.25, 157.03125, 2306.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 304.0, 106.0, 157.1875, 157.0625, 8996.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 326.0, 114.0, 157.1875, 157.0625, 8996.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 343.0, 129.0, 157.1875, 157.0625, 8997.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 398.0, 201.0, 157.1875, 157.0625, 8997.0, 10.0, 157.25, 157.03125, 2323.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 426.0, 220.0, 157.1875, 157.0625, 8997.0, 24.0, 157.25, 157.03125, 2328.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 479.0, 202.0, 157.1875, 157.0625, 9027.0, 59.0, 157.25, 157.03125, 2328.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 443.0, 198.0], [157.125, 157.09375, 490.0, 202.0, 157.1875, 157.0625, 9027.0, 63.0, 157.25, 157.03125, 2328.0, 1767.0, 157.3125, 157.0, 1441.0, 289.0, 157.375, 156.96875, 443.0, 198.0], [157.125, 157.09375, 508.0, 202.0, 157.1875, 157.0625, 9027.0, 68.0, 157.25, 157.03125, 2328.0, 1767.0, 157.3125, 157.0, 1441.0, 289.0, 157.375, 156.96875, 443.0, 198.0], [157.125, 157.09375, 570.0, 202.0, 157.1875, 157.0625, 9027.0, 72.0, 157.25, 157.03125, 2328.0, 1767.0, 157.3125, 157.0, 1441.0, 289.0, 157.375, 156.96875, 443.0, 198.0]]",POV
0,320,27,"[[157.125, 157.09375, 284.0, 97.0, 157.1875, 157.0625, 8996.0, 10.0, 157.25, 157.03125, 2306.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 291.0, 102.0, 157.1875, 157.0625, 8996.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 341.0, 114.0, 157.1875, 157.0625, 8997.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 414.0, 220.0, 157.1875, 157.0625, 8997.0, 13.0, 157.25, 157.03125, 2323.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.09375, 157.09375, 2.0, 204.0, 157.125, 157.0625, 472.0, 57.0, 157.1875, 157.03125, 9010.0, 1767.0, 157.25, 157.0, 2328.0, 289.0, 157.3125, 156.96875, 1422.0, 198.0], [157.125, 157.09375, 561.0, 202.0, 157.1875, 157.0625, 9027.0, 72.0, 157.25, 157.03125, 2328.0, 1767.0, 157.3125, 157.0, 1441.0, 289.0, 157.375, 156.96875, 443.0, 198.0], [157.09375, 157.09375, 16.0, 175.0, 157.125, 157.0625, 570.0, 73.0, 157.1875, 157.03125, 9027.0, 1767.0, 157.25, 157.0, 2328.0, 289.0, 157.3125, 156.96875, 1441.0, 198.0], [157.09375, 157.09375, 14.0, 130.0, 157.125, 157.0625, 570.0, 73.0, 157.1875, 157.03125, 9027.0, 1767.0, 157.25, 157.0, 2328.0, 289.0, 157.3125, 156.96875, 1441.0, 198.0], [157.09375, 157.09375, 8.0, 89.0, 157.125, 157.0625, 570.0, 77.0, 157.1875, 157.03125, 9027.0, 1767.0, 157.25, 157.0, 2328.0, 289.0, 157.3125, 156.96875, 1441.0, 198.0], [157.125, 157.09375, 570.0, 48.0, 157.1875, 157.0625, 9027.0, 77.0, 157.25, 157.03125, 2328.0, 1767.0, 157.3125, 157.0, 1441.0, 289.0, 157.375, 156.96875, 443.0, 198.0]]",POV
0,150,51,"[[157.125, 157.09375, 289.0, 98.0, 157.1875, 157.0625, 8996.0, 10.0, 157.25, 157.03125, 2306.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 319.0, 114.0, 157.1875, 157.0625, 8996.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 343.0, 123.0, 157.1875, 157.0625, 8997.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 358.0, 144.0, 157.1875, 157.0625, 8997.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 378.0, 166.0, 157.1875, 157.0625, 8997.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 393.0, 195.0, 157.1875, 157.0625, 8997.0, 10.0, 157.25, 157.03125, 2323.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 425.0, 220.0, 157.1875, 157.0625, 8997.0, 13.0, 157.25, 157.03125, 2323.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 441.0, 220.0, 157.1875, 157.0625, 9009.0, 39.0, 157.25, 157.03125, 2328.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 441.0, 220.0, 157.1875, 157.0625, 9009.0, 41.0, 157.25, 157.03125, 2328.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 443.0, 198.0], [157.125, 157.09375, 472.0, 220.0, 157.1875, 157.0625, 9010.0, 52.0, 157.25, 157.03125, 2328.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 443.0, 198.0]]",POV
0,310,72,"[[157.125, 157.09375, 343.0, 134.0, 157.1875, 157.0625, 8997.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 367.0, 144.0, 157.1875, 157.0625, 8997.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 378.0, 184.0, 157.1875, 157.0625, 8997.0, 10.0, 157.25, 157.03125, 2307.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 402.0, 207.0, 157.1875, 157.0625, 8997.0, 10.0, 157.25, 157.03125, 2323.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 426.0, 220.0, 157.1875, 157.0625, 8997.0, 33.0, 157.25, 157.03125, 2328.0, 1767.0, 157.3125, 157.0, 1422.0, 289.0, 157.375, 156.96875, 442.0, 198.0], [157.125, 157.09375, 511.0, 202.0, 157.1875, 157.0625, 9027.0, 68.0, 157.25, 157.03125, 2328.0, 1767.0, 157.3125, 157.0, 1441.0, 289.0, 157.375, 156.96875, 443.0, 198.0], [157.09375, 157.09375, 40.0, 199.0, 157.125, 157.0625, 570.0, 73.0, 157.1875, 157.03125, 9027.0, 1767.0, 157.25, 157.0, 2328.0, 289.0, 157.3125, 156.96875, 1441.0, 198.0], [157.09375, 157.09375, 33.0, 149.0, 157.125, 157.0625, 570.0, 73.0, 157.1875, 157.03125, 9027.0, 1767.0, 157.25, 157.0, 2328.0, 289.0, 157.3125, 156.96875, 1441.0, 198.0], [157.09375, 157.09375, 5.0, 106.0, 157.125, 157.0625, 570.0, 77.0, 157.1875, 157.03125, 9027.0, 1767.0, 157.25, 157.0, 2328.0, 289.0, 157.3125, 156.96875, 1441.0, 198.0], [157.09375, 157.09375, 7.0, 70.0, 157.125, 157.0625, 570.0, 77.0, 157.1875, 157.03125, 9027.0, 1767.0, 157.25, 157.0, 2328.0, 289.0, 157.3125, 156.96875, 1441.0, 198.0]]",POV
